Output,RG,RF,RZ,RP,RYM,RZM,CG,CF,CZ,CP,CYM,CZM
11.76111,0.2734688928,0.0538192163,1397.9824731,103.915855533,-1021.03491211,0.0324169644,0.2172950858,0.1094043756,1394.03062341,147.751144972,-1021.03491211,0.0324169644
11.8147385714,0.2735529854,0.0539874014,1362.54472687,105.993051998,-1023.14733887,-0.1386372932,0.2168746232,0.1100771158,1362.54472687,153.779596613,-1023.14733887,-0.1386372932
11.8203742857,0.2764608164,0.0719050105,1412.25995731,105.490165844,-1024.0168457,0.1484487077,0.2177155484,0.1078907102,1395.74050037,151.249319416,-1024.0168457,0.1484487077
11.7983242857,0.2702733769,0.0554169743,1463.48462247,104.376120645,-1024.35388184,0.3268629461,0.2145901096,0.1108858056,1451.33049516,146.85851524,-1024.35388184,0.3268629461
11.8092057143,0.2818320017,0.0835902128,1557.28231902,107.571072049,-1026.92651367,0.6873363952,0.2182559455,0.1104530676,1549.56549662,153.338497002,-1026.92651367,0.6873363952
11.8232628571,0.2681325807,0.0663376002,1618.07760392,111.824682203,-1029.09423828,0.6937598326,0.2147723101,0.1088998205,1602.08659784,157.130568834,-1029.09423828,0.6937598326
11.8199885714,0.2752610875,0.052815143,1415.07839586,105.644851434,-1021.87561035,-0.4607580251,0.2180727161,0.1100035143,1405.36989176,152.273713909,-1021.87561035,-0.4607580251
11.77976,0.2791743569,0.0602515819,1339.95566385,103.726661811,-1018.19250488,0.0382113842,0.2233497477,0.1044429166,1337.89432132,149.166021996,-1018.19250488,0.0382113842
11.76996,0.279160629,0.0706450979,1445.94248066,100.221868147,-1019.17236328,-0.2788003556,0.2230133775,0.1039383615,1444.13573316,143.907375361,-1019.17236328,-0.2788003556
11.7808028571,0.2791743569,0.0587735488,1413.38864125,102.915618379,-1021.71777344,0.1284100825,0.2204065093,0.1067975073,1412.49866562,148.141443188,-1021.71777344,0.1284100825
11.7134571429,0.279160629,0.0582259597,1424.60269263,105.952748081,-1025.56396484,0.3778985445,0.2188087513,0.1068815999,1416.38951565,153.032143399,-1025.56396484,0.3778985445
11.6433428571,0.2761730236,0.0487759908,1436.33182014,107.698034068,-1025.33691406,0.0618828143,0.2158758074,0.1092414,1433.18022082,152.556622225,-1025.33691406,0.0618828143
